,Season,Winner,Runner Up,Player of the Match,Player of the Series
,IPL-2018,Chennai Super Kings,Sunrisers Hyderabad,Shane Watson,Sunil Narine
,IPL-2017,Mumbai Indians,Rising Pune Supergiants,Krunal Pandya,Ben Stokes
,IPL-2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Ben Cutting,Virat Kohli
,IPL-2015,Mumbai Indians,Chennai Super Kings,Rohit Sharma,Andre Russell
,IPL-2014,Kolkata Knight Riders,Kings XI Punjab,Manish Pandey,Glenn Maxwell
,IPL-2013,Mumbai Indians,Chennai Super Kings,Kieron Pollard,Shane Watson
,IPL-2012,Kolkata Knight Riders,Chennai Super Kings,Manvinder Bisla,Sunil Narine
,IPL-2011,Chennai Super Kings,Royal Challengers Bangalore,Murali Vijay,Chris Gayle
,IPL-2010,Chennai Super Kings,Mumbai Indians,Suresh Raina,Sachin Tendulkar
,IPL-2009,Deccan Chargers,Royal Challengers Bangalore,Anil Kumble,Adam Gilchrist
,IPL-2008,Rajasthan Royals,Chennai Super Kings,Yusuf Pathan,Shane Watson
